model_type,variant,prompt_idx,seed,positive_prompt,negative_prompt,clip_positive,clip_negative
base,original_baseline,0,42,A photo of a person,male,0.2581060528755188,0.20616917312145233
base,original_with_neg,0,42,A photo of a person,male,0.25985613465309143,0.18963205814361572
base,original_baseline,0,1337,A photo of a person,male,0.2668910622596741,0.211548313498497
base,original_with_neg,0,1337,A photo of a person,male,0.27077266573905945,0.20747849345207214
base,original_baseline,0,2025,A photo of a person,male,0.2736413776874542,0.19026987254619598
base,original_with_neg,0,2025,A photo of a person,male,0.2608789801597595,0.18004629015922546
base,original_baseline,1,42,A photo of a person,female,0.2581060528755188,0.19529375433921814
base,original_with_neg,1,42,A photo of a person,female,0.24125203490257263,0.13409936428070068
base,original_baseline,1,1337,A photo of a person,female,0.2668910622596741,0.21850304305553436
base,original_with_neg,1,1337,A photo of a person,female,0.2712317705154419,0.1879386305809021
base,original_baseline,1,2025,A photo of a person,female,0.2736413776874542,0.1930653303861618
base,original_with_neg,1,2025,A photo of a person,female,0.2822622060775757,0.176240473985672
base,original_baseline,2,42,A photo of a person,old,0.2581060528755188,0.20889829099178314
base,original_with_neg,2,42,A photo of a person,old,0.2476101964712143,0.2091006338596344
base,original_baseline,2,1337,A photo of a person,old,0.2668910622596741,0.20898176729679108
base,original_with_neg,2,1337,A photo of a person,old,0.23834538459777832,0.20457476377487183
base,original_baseline,2,2025,A photo of a person,old,0.2736413776874542,0.1972070336341858
base,original_with_neg,2,2025,A photo of a person,old,0.2616121172904968,0.1985856592655182
base,original_baseline,3,42,A photo of a person,young,0.2581060528755188,0.2185315489768982
base,original_with_neg,3,42,A photo of a person,young,0.25950881838798523,0.19304674863815308
base,original_baseline,3,1337,A photo of a person,young,0.2668910622596741,0.2278415560722351
base,original_with_neg,3,1337,A photo of a person,young,0.2733786106109619,0.21097782254219055
base,original_baseline,3,2025,A photo of a person,young,0.2736413776874542,0.2023714780807495
base,original_with_neg,3,2025,A photo of a person,young,0.28522971272468567,0.21312613785266876
base,original_baseline,4,42,A photo of a person,bright lighting,0.2581060528755188,0.18541240692138672
base,original_with_neg,4,42,A photo of a person,bright lighting,0.27973565459251404,0.16318796575069427
base,original_baseline,4,1337,A photo of a person,bright lighting,0.2668910622596741,0.16974380612373352
base,original_with_neg,4,1337,A photo of a person,bright lighting,0.2507880926132202,0.16728118062019348
base,original_baseline,4,2025,A photo of a person,bright lighting,0.2736413776874542,0.17925596237182617
base,original_with_neg,4,2025,A photo of a person,bright lighting,0.2729763984680176,0.16344666481018066
base,original_baseline,5,42,A photo of a person,dark lighting,0.2581060528755188,0.2144051343202591
base,original_with_neg,5,42,A photo of a person,dark lighting,0.2838408350944519,0.17678438127040863
base,original_baseline,5,1337,A photo of a person,dark lighting,0.2668910622596741,0.19105088710784912
base,original_with_neg,5,1337,A photo of a person,dark lighting,0.2757071256637573,0.1750592291355133
base,original_baseline,5,2025,A photo of a person,dark lighting,0.2736413776874542,0.19227451086044312
base,original_with_neg,5,2025,A photo of a person,dark lighting,0.2631267011165619,0.16213315725326538
base,original_baseline,6,42,A photo of a pet,dog,0.28904929757118225,0.26790082454681396
base,original_with_neg,6,42,A photo of a pet,dog,0.27134963870048523,0.22258926928043365
base,original_baseline,6,1337,A photo of a pet,dog,0.2547121047973633,0.20639243721961975
base,original_with_neg,6,1337,A photo of a pet,dog,0.2789594829082489,0.23340147733688354
base,original_baseline,6,2025,A photo of a pet,dog,0.2690235376358032,0.2523619532585144
base,original_with_neg,6,2025,A photo of a pet,dog,0.2616240978240967,0.25176727771759033
base,original_baseline,7,42,A photo of a pet,cat,0.28904929757118225,0.20507121086120605
base,original_with_neg,7,42,A photo of a pet,cat,0.2717965841293335,0.19285526871681213
base,original_baseline,7,1337,A photo of a pet,cat,0.2547121047973633,0.2578743100166321
base,original_with_neg,7,1337,A photo of a pet,cat,0.264202356338501,0.19755224883556366
base,original_baseline,7,2025,A photo of a pet,cat,0.2690235376358032,0.18360571563243866
base,original_with_neg,7,2025,A photo of a pet,cat,0.26686587929725647,0.1811046451330185
base,original_baseline,8,42,A photo from the 1960s,colour,0.27265945076942444,0.17498652637004852
base,original_with_neg,8,42,A photo from the 1960s,colour,0.2655952572822571,0.1735333949327469
base,original_baseline,8,1337,A photo from the 1960s,colour,0.24881629645824432,0.16779431700706482
base,original_with_neg,8,1337,A photo from the 1960s,colour,0.26319560408592224,0.1706022173166275
base,original_baseline,8,2025,A photo from the 1960s,colour,0.27205145359039307,0.189029261469841
base,original_with_neg,8,2025,A photo from the 1960s,colour,0.28509610891342163,0.1928015649318695
base,original_baseline,9,42,A photo from the 1960s,black and white,0.27265945076942444,0.18645034730434418
base,original_with_neg,9,42,A photo from the 1960s,black and white,0.28199100494384766,0.14163435995578766
base,original_baseline,9,1337,A photo from the 1960s,black and white,0.24881629645824432,0.18945421278476715
base,original_with_neg,9,1337,A photo from the 1960s,black and white,0.2834222912788391,0.15373706817626953
base,original_baseline,9,2025,A photo from the 1960s,black and white,0.27205145359039307,0.20257997512817383
base,original_with_neg,9,2025,A photo from the 1960s,black and white,0.294376015663147,0.17311246693134308
base,original_baseline,10,42,A still painting of fruits,grapes,0.35692355036735535,0.2548445463180542
base,original_with_neg,10,42,A still painting of fruits,grapes,0.32514119148254395,0.2164679318666458
base,original_baseline,10,1337,A still painting of fruits,grapes,0.3440667986869812,0.26398617029190063
base,original_with_neg,10,1337,A still painting of fruits,grapes,0.3560967743396759,0.2166678011417389
base,original_baseline,10,2025,A still painting of fruits,grapes,0.3317238688468933,0.24891018867492676
base,original_with_neg,10,2025,A still painting of fruits,grapes,0.30864715576171875,0.20876377820968628
base,original_baseline,11,42,A still painting of fruits,apples,0.35692355036735535,0.26515430212020874
base,original_with_neg,11,42,A still painting of fruits,apples,0.30426862835884094,0.21359124779701233
base,original_baseline,11,1337,A still painting of fruits,apples,0.3440667986869812,0.2591456472873688
base,original_with_neg,11,1337,A still painting of fruits,apples,0.3376306891441345,0.22384843230247498
